ID,Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Openness,Conscientousness,Extraversion,Agreeableness,Emotional_Range,Conversation,Openness to Change,Hedonism,Self-enhancement,Self-transcendence,Role,PersonalityType
1,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator,LHHLH
2,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator,LHLLH
3,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator,HHLHH
4,6,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator,LHHLH
5,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator,HLLLH
6,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator,LLLLH
7,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator,HLLLH
8,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator,LHHLH
9,6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator,LHLLH
10,6,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator,HHLHH
11,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator,LHHLH
12,6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator,HLLLH
13,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator,LLLLH
14,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator,HLLLH
15,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator,LHHLH
16,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator,LHLLH
17,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator,HHLHH
18,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator,LHHLH
19,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator,HLLLH
20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator,LLLLH
21,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator,HLLLH
22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator,LHHLH
23,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator,LHLLH
24,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator,HHLHH
25,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator,LHHLH
26,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator,HLLLH
27,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator,LLLLH
28,6,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator,HLLLH
